project_name,name,title,deneme,org_id,idea,project_link,nextt,tag,key,description
,CentOS Project,,,centos,"<a href=""http://wiki.centos.org/GSoC/2015/Ideas"" target=""_blank"" rel=""nofollow"">Ideas page</a>",,,"Linux, Python, yum, oVirt, OpenStack, OpenShift, Gluster, Ceph, Docker, container, Atomic",google/gsoc2015/centos,
,Ceph Storage,,,ceph,"<a href=""http://ceph.com/gsoc2015/"" target=""_blank"" rel=""nofollow"">Ideas page</a>",,,"ceph, storage, software defined",google/gsoc2015/ceph,
,CERN SFT,,,cernsft,"<a href=""http://ph-dep-sft.web.cern.ch/article/175948"" target=""_blank"" rel=""nofollow"">Ideas page</a>",,,,google/gsoc2015/cernsft,
,Cesium Community,,,cesium,"<a href=""https://github.com/AnalyticalGraphicsInc/cesium/wiki/Google-Summer-of-Code-Ideas-2015"" target=""_blank"" rel=""nofollow"">Ideas page</a>",,,"geospatial, mapping, graphics, JavaScript, HTML5, CSS, WebGL, GitHub",google/gsoc2015/cesium,
,CiviCRM,,,civicrm,"<a href=""http://wiki.civicrm.org/confluence/display/CRM/Google+Summer+of+Code+-+2015"" target=""_blank"" rel=""nofollow"">Ideas page</a>",,,"crm, ngo, fundraising, events management, membership management, social network, datamining",google/gsoc2015/civicrm,
,Clojure,,,clojure,"<a href=""http://dev.clojure.org/display/community/Project+Ideas"" target=""_blank"" rel=""nofollow"">Ideas page</a>",,,"Clojure, Lisp, Functional Programming, ClojureScript",google/gsoc2015/clojure,
,CloudCV,,,cloudcv,"<a href=""https://docs.google.com/document/d/1QX9Dq1WTwVCc3PB14F6Iyf9tii1zM20Gil78iX_6qCc/edit?usp=sharing"" target=""_blank"" rel=""nofollow"">Ideas page</a>",,,"Computer Vision, Machine Learning, Distributed Computing, Python, Matlab, Javascript, Django, Node.js",google/gsoc2015/cloudcv,
,The Concord Consortium,,,concord,"<a href=""http://concord.org/GSoC"" target=""_blank"" rel=""nofollow"">Ideas page</a>",,,"education, nonprofit, STEM, science, math, engineering, big data, analytics, simulations, modeling, mobile, responsive Web design, JavaScript, Ruby, HTML5, WebGL, Require.js, D3, CoffeeScript, SVG, Vows, Amazon Web Services, Capistrano, SASS, Haml, WebCL, Pixi.js, AgentScript, AgentBasedModeling, git, GitHub, iPad, Android, Tablet, Mobile",google/gsoc2015/concord,
,Copyleft Games,,,copyleftgames,"<a href=""http://gsoc.copyleftgames.org/"" target=""_blank"" rel=""nofollow"">Ideas page</a>",,,"C, Python, Games",google/gsoc2015/copyleftgames,
,coreboot,,,coreboot,"<a href=""http://www.coreboot.org/Project_Ideas"" target=""_blank"" rel=""nofollow"">Ideas page</a>",,,"firmware, BIOS, embedded, bootloader, x86, arm, mips",google/gsoc2015/coreboot,
,DBpedia & DBpedia Spotlight,,,dbpediaspotlight,"<a href=""http://wiki.dbpedia.org/gsoc2015/ideas"" target=""_blank"" rel=""nofollow"">Ideas page</a>",,,"Java, Scala, Python, Wikipedia, Wikidata, Natural Language Processing, Machine Learning, Knowledge Extraction, Entity Linking, Word Sense Disambiguation, Semantic Web, Linked Data",google/gsoc2015/dbpediaspotlight,
,Debian Project,,,debian,"<a href=""https://wiki.debian.org/SummerOfCode2015/Projects"" target=""_blank"" rel=""nofollow"">Ideas page</a>",,,"os, linux, distributions, web, qa, quality_assurance, shell_scripting, web_development, python, bsd, php, distribution, bash, c, operating_system, database, science, debian, c++, sh, security, continuous_integration",google/gsoc2015/debian,
,Django Software Foundation,,,django,"<a href=""http://code.djangoproject.com/wiki/SummerOfCode2015"" target=""_blank"" rel=""nofollow"">Ideas page</a>",,,"django, python",google/gsoc2015/django,
,Drupal,,,drupal,"<a href=""https://groups.drupal.org/node/455978"" target=""_blank"" rel=""nofollow"">Ideas page</a>",,,"PHP, OO PHP, CMS, Database, Drupal 8, Symfony, Web Development, Web Programming, Web Application, Web Framework, SQL, Object Oriented Programming, web",google/gsoc2015/drupal,
,The Eclipse Foundation,,,eclipse,"<a href=""https://wiki.eclipse.org/Google_Summer_of_Code_2015_Ideas"" target=""_blank"" rel=""nofollow"">Ideas page</a>",,,"eclipse, java, ide, recommenders, ecf, development, rcp, orion, javascript, c/c++",google/gsoc2015/eclipse,
,Encyclopedia of Life,,,eol,"<a href=""https://docs.google.com/document/d/11SmYcoJBMJsXC-DS3jWc_jm59mynkETMLYskG9q_7HA/edit?usp=sharing"" target=""_blank"" rel=""nofollow"">Ideas page</a>",,,"encyclopedia, life, biodiversity, biology, taxonomy, devops, ruby, nlp, golang",google/gsoc2015/eol,
,The Fedora Project,,,fedora,"<a href=""https://fedoraproject.org/wiki/Summer_coding_ideas_for_2015"" target=""_blank"" rel=""nofollow"">Ideas page</a>",,,"linux, kernel, php, C, bash, ruby, python, rails, buildservices, dnf, rpm, distribution, cloud",google/gsoc2015/fedora,
,FFmpeg,,,ffmpeg,"<a href=""https://trac.ffmpeg.org/wiki/SponsoringPrograms/GSoC/2015"" target=""_blank"" rel=""nofollow"">Ideas page</a>",,,"multimedia, video, audio, movie, mp4, mp3, transcoding, streaming, libavcodec, libavfilter, ffplay, ffmpeg, ffserver, libavutil, c, asm, x86, filter, decode, encode, subtitle",google/gsoc2015/ffmpeg,
,FOSSASIA,,,fossasia,"<a href=""http://labs.fossasia.org/ideas"" target=""_blank"" rel=""nofollow"">Ideas page</a>",,,"python, qt, Javascript, js, HTML, web, android, iOS, web apps, C, C++, mobile, pattern, garment, CAD, social change, humanitarian software, linux, localization",google/gsoc2015/fossasia,
,FreeBSD,,,freebsd,"<a href=""https://wiki.freebsd.org/SummerOfCodeIdeas"" target=""_blank"" rel=""nofollow"">Ideas page</a>",,,"virtualization, hypervisor, os, operating system, bsd, web, compilers, qa, perl, ruby, drivers, shell_scripting, shell scripting, server, embedded, mips, arm, sparc, sparc64, i386, amd, amd64, x86_64, distribution, c, operating_system, database, pcbsd, freebsd, c++, sh, security, clang, llvm, audit, wireless, wifi, wi-fi, desktop, server, sandbox, kernel, embedded",google/gsoc2015/freebsd,
,Global Alliance for Genomics & Health,,,ga4gh,"<a href=""https://docs.google.com/document/d/1PHPDTzD4Z6xVoxN0Q1F8yEPclSri-JA1vLvMTrLYUi8/edit?usp=sharing"" target=""_blank"" rel=""nofollow"">Ideas page</a>",,,"genomics, health, big data, medicine, APIs, visualization, file formats",google/gsoc2015/ga4gh,
,Ganeti,,,ganeti,"<a href=""https://code.google.com/p/ganeti/wiki/SummerOfCode2015Ideas"" target=""_blank"" rel=""nofollow"">Ideas page</a>",,,"Ganeti, Haskell, Python, Xen, Kvm, Virtualization, Cloud, Cluster",google/gsoc2015/ganeti,
,GCC - GNU Compiler Collection,,,gcc,"<a href=""https://gcc.gnu.org/wiki/SummerOfCode"" target=""_blank"" rel=""nofollow"">Ideas page</a>",,,"gcc, compiler, c, c++, toolchain, glibc, binutils, gdb",google/gsoc2015/gcc,
,International GeoGebra Institute,,,geogebra,"<a href=""https://dev.geogebra.org/trac/wiki/Gsoc2015"" target=""_blank"" rel=""nofollow"">Ideas page</a>",,,"math, education, mathematics, Java, JavaScript, GWT, iOS, Android, canvas, html5, geometry, algebra, 3D",google/gsoc2015/geogebra,
,Git,,,git,"<a href=""http://git.github.io/SoC-2015-Ideas.html"" target=""_blank"" rel=""nofollow"">Ideas page</a>",,,"vcs, c, git",google/gsoc2015/git,
,GitHub,,,github,"<a href=""https://github.com/github/gsoc"" target=""_blank"" rel=""nofollow"">Ideas page</a>",,,"coffeescript, javascript, c, c++, shell, python, linux, win32, ruby, git, unix, mac",google/gsoc2015/github,
,GNOME,,,gnome,"<a href=""https://wiki.gnome.org/Outreach/SummerOfCode/2015/Ideas"" target=""_blank"" rel=""nofollow"">Ideas page</a>",,,"application, banshee, boxes, c, clutter, desktop, easytag, game, glib, gnome, gnome-shell, gnu, gobject, gtk, gtk+, gtg, gstreamer, desktop, evolution, javascript, latex, linux, mail, music, python, vala, virtual, wayland",google/gsoc2015/gnome,
,GNSS-SDR,,,gnss_sdr,"<a href=""http://gnss-sdr.org/documentation/google-summer-code-2015-ideas-list"" target=""_blank"" rel=""nofollow"">Ideas page</a>",,,"software radio, GNSS, GPS, Galileo, navigation",google/gsoc2015/gnss_sdr,
,GNU Project,,,gnu,"<a href=""http://www.gnu.org/s/soc-projects/ideas.html"" target=""_blank"" rel=""nofollow"">Ideas page</a>",,,"gnu, gpl, free software, classpath, dmd, gettext, gnucap, gnunet, gnustep, guix, libredwg, kawa, octave, xaos, zile, hurd, wget",google/gsoc2015/gnu,
,GNU Mailman,,,gnu_mailman,"<a href=""http://wiki.list.org/DEV/Google_Summer_of_Code_2015"" target=""_blank"" rel=""nofollow"">Ideas page</a>",,,"email, mailing-lists, python",google/gsoc2015/gnu_mailman,
,haskell.org,,,haskell,"<a href=""https://ghc.haskell.org/trac/summer-of-code/report/1"" target=""_blank"" rel=""nofollow"">Ideas page</a>",,,"non-strict, lazy, functional, programming language",google/gsoc2015/haskell,
,University of Nebraska - Helikar Lab,,,helikarlab,"<a href=""http://helikarlab.org/GSoC.html"" target=""_blank"" rel=""nofollow"">Ideas page</a>",,,"bioinformatics, computational biology, systems biology, image analysis",google/gsoc2015/helikarlab,
,The Honeynet Project,,,honeynet,"<a href=""http://honeynet.org/gsoc/ideas"" target=""_blank"" rel=""nofollow"">Ideas page</a>",,,"Android, C, C++, CSS, D3.js, DB, DDoS, DNP3, DNS, DNS, DOM, Data mining, Database, Denial of Service, Design, Distributed Denial of Service, Distributed system, Django, DoS, Driver, Exploit, FTP, Fragmentation, GUI, Graphics, HTML, HTML5, HTTP, Hadoop, Honeynet, Honeypot, Hypervizors, ICS, IDS, IEC 60870, IP, IPv4, IPv6, Java, Javascript, Kernel, Lamson, Linux, Malware, MITM, Modbus, MySQL, Networking, OS, OSX, Operating system, PHP, Packet, Processing, Processing.js, Proxies, Proxy, Python, Queue, Rails, RDBMS, Research, Reverse engineering, Ruby, Ruby On Rails, SCADA, SNMP, SOCKS, SQL, SSL, Sandbox, Security, Shellcode, Spam, Splunk, TCP, UI, VM, Virtual machine, Virtualization, Visualization, VoIP, Web, Web browser, Web development, Windows, Wireshark, iOS",google/gsoc2015/honeynet,
,HPCC Systems®,,,hpccsystems,"<a href=""https://wiki.hpccsystems.com/display/hpcc/HPCC+Systems+GSoC+2015+Ideas+List"" target=""_blank"" rel=""nofollow"">Ideas page</a>",,,"ECL, Python, Java, Parallel Processing, Big Data, C++, Distributed File System, Scalable, Data Warehousing, High Performance Queries, ETL Processing, Git, JIRA, Machine Learning, Visualisations, NLP, High Performance Computing, Natural Language Processing, Data Science, Data Mining, Hadoop",google/gsoc2015/hpccsystems,
,Institute for Artificial Intelligence,,,iai_unihb_gsoc,"<a href=""https://ai.uni-bremen.de/teaching/gsoc2015"" target=""_blank"" rel=""nofollow"">Ideas page</a>",,,"AI, Robots",google/gsoc2015/iai_unihb_gsoc,
,International Neuroinformatics Coordinating Facility,,,incf,"<a href=""https://www.incf.org/gsoc/2015/proposals"" target=""_blank"" rel=""nofollow"">Ideas page</a>",,,"brain, neuroscience, Python, C++, Java, Javscript, JQuery, SQL, MySQL, NoSQL, XML, SOAP, REST, Git, GitHub, HTML5, PHP, Django, RDF, R, WebGL, CUDA, Travis, Heroku, Ansible, WebRTC, BitTorrent",google/gsoc2015/incf,
,IP-over-P2P Project,,,ipop,"<a href=""https://github.com/ipop-project/documentation/wiki/googlesoc2015-projects"" target=""_blank"" rel=""nofollow"">Ideas page</a>",,,"virtual network, vpn, p2p, overlay",google/gsoc2015/ipop,
,Interactive Spaces,,,is,"<a href=""http://www.interactive-spaces.org/home/google-summer-of-code-2015"" target=""_blank"" rel=""nofollow"">Ideas page</a>",,,"interactivity, sensors, framework, synchronization, ROS, Java, cross-platform",google/gsoc2015/is,
,JBoss Community,,,jboss,"<a href=""https://developer.jboss.org/wiki/GSOC15Ideas"" target=""_blank"" rel=""nofollow"">Ideas page</a>",,,"JBoss, Java, JavaEE, REST, Mobile, Ruby, Security",google/gsoc2015/jboss,
,JdeRobot - Universidad Rey Juan Carlos,,,jderobot,"<a href=""http://jderobot.org/Collaborate#Ideas_List"" target=""_blank"" rel=""nofollow"">Ideas page</a>",,,"robotics, computer vision, home automation, android, google-glass, wear, smartwatch, glass",google/gsoc2015/jderobot,
,jQuery Foundation,,,jquery,"<a href=""https://github.com/jquery/gsoc/wiki/GSoC-2015-Ideas-List"" target=""_blank"" rel=""nofollow"">Ideas page</a>",,,"JavaScript, jQuery, CSS, HTML",google/gsoc2015/jquery,
,KDE,,,kde,"<a href=""https://community.kde.org/GSoC/2015/Ideas"" target=""_blank"" rel=""nofollow"">Ideas page</a>",,,"desktop, Qt, C++, Marble, Plasma, education, PIM, Gluon, Krita",google/gsoc2015/kde,
,XBMC Foundation,,,kodi,"<a href=""http://kodi.wiki/view/Google_Summer_of_Code/2015"" target=""_blank"" rel=""nofollow"">Ideas page</a>",,,"Kodi, XBMC, Retroplayer, raspberry pi, upnp, media center, multimedia",google/gsoc2015/kodi,
,Google Kubernetes,,,kubernetes,"<a href=""https://github.com/GoogleCloudPlatform/kubernetes/wiki/Google-Summer-of-Code-(GSoC)"" target=""_blank"" rel=""nofollow"">Ideas page</a>",,,"kubernetes, docker, google, containers",google/gsoc2015/kubernetes,
,LabLua,,,lablua,"<a href=""http://www.lua.inf.puc-rio.br/gsoc/ideas2015.html"" target=""_blank"" rel=""nofollow"">Ideas page</a>",,,"Lua, Céu, LabLua, scripting languages, programming languages",google/gsoc2015/lablua,
,Foundation for Learning Equality,,,learningequality,"<a href=""https://learningequality.org/ka-lite/user-guides/gsoc-ideas-list-2015"" target=""_blank"" rel=""nofollow"">Ideas page</a>",,,"learning, education, international development, ICT4D, social justice, edtech",google/gsoc2015/learningequality,
,Liquid Galaxy Project,,,lg,"<a href=""http://code.google.com/p/liquid-galaxy/wiki/GSoC2015Ideas"" target=""_blank"" rel=""nofollow"">Ideas page</a>",,,"google earth, virtual reality, 3d game engines, geospatial, street view, panorama",google/gsoc2015/lg,
,LibreOffice,,,libreoffice,"<a href=""https://wiki.documentfoundation.org/Development/GSoC/Ideas"" target=""_blank"" rel=""nofollow"">Ideas page</a>",,,"officesuite, c++, spreadsheet, textprocessor, presentation, odf",google/gsoc2015/libreoffice,
,LLVM Compiler Infrastructure,,,llvm,"<a href=""http://llvm.org/OpenProjects.html"" target=""_blank"" rel=""nofollow"">Ideas page</a>",,,"llvm, clang, compiler, backend, optimization",google/gsoc2015/llvm,
,lmonade: scientific software distribution,,,lmonade,"<a href=""http://wiki.lmona.de/get_involved/gsoc"" target=""_blank"" rel=""nofollow"">Ideas page</a>",,,"math, mathematics, algebra, science, scientific software, distribution, package, image, image processing, vision, bio, graphics, geometry, 3d, opengl, qt, graph, parallel, threads, openmp, c++, cpp, python, java, shell, sh, bash, scripting, lmonade, flint, ilastik, vigra, fricas, singular, polybori, aldor",google/gsoc2015/lmonade,
,lowRISC,,,lowrisc,"<a href=""http://www.lowrisc.org/docs/gsoc-2015-ideas/"" target=""_blank"" rel=""nofollow"">Ideas page</a>",,,"oshw, llvm, javascript, go, golang, verilog, hardware, lowrisc, riscv, education, graphics, c, musl, kernel, testing, verification, fpga, python, ocaml",google/gsoc2015/lowrisc,
,The MacPorts Project,,,macports,"<a href=""https://trac.macports.org/wiki/SummerOfCode"" target=""_blank"" rel=""nofollow"">Ideas page</a>",,,"Mac, OS X, Apple, Darwin, package management, distribution, C, Tcl, porting, cross, cross-compilation, scripting, BSD, SAT, system programming, Xcode, LD_PRELOAD, DYLD_INSERT_LIBRARIES, operating system, os, clang, llvm",google/gsoc2015/macports,
,MariaDB,,,mariadb,"<a href=""https://mariadb.com/kb/en/mariadb/google-summer-of-code-2015/"" target=""_blank"" rel=""nofollow"">Ideas page</a>",,,"MariaDB, MySQL, database, proxy, C, C++, Perl, Java",google/gsoc2015/mariadb,
,"MBDyn, Department of Aerospace Engineering at the Polytechnic University of Milan",,,mbdyn,"<a href=""https://www.mbdyn.org/?Developers_corner___TODO_list"" target=""_blank"" rel=""nofollow"">Ideas page</a>",,,"mbdyn, multibody, multibody dynamics, multibody system dynamics, numerical analysis, numerical modeling, structural dynamics, finite element method, aerospace, aerodynamics, helicopter, rotorcraft, wind energy, automotive, vehicles, vehicle dynamics, tires, trucks, engineering, mechanical engineering, aerospace engineering, robotics, mechatronics, C++, university, free software, simulation, cosimulation, multiphysics, multidisciplinary analysis",google/gsoc2015/mbdyn,
,MEDES-IMPS,,,medes_imps,"<a href=""http://www.medes.fr/en/our-offer/assistance-with-e-health-or-epidemiological-surveillance-projects/a-data-collection-application/medes-and-google-summer-of-code.html"" target=""_blank"" rel=""nofollow"">Ideas page</a>",,,"health, medicine, space, ehealth, spring, maven, java, git, gwt, android, couchdb, database, tomcat, emf, ecore, oaw, eclipse, jpa, hibernate",google/gsoc2015/medes_imps,
,MIT Media Lab,,,media,"<a href=""https://github.com/mit-cml/appinventor-sources/wiki/Projects-GSoC-15"" target=""_blank"" rel=""nofollow"">Ideas page</a>",,,"mobile computing, education, App Inventor, education technology",google/gsoc2015/media,
,MetaBrainz Foundation Inc.,,,metabrainz,"<a href=""http://wiki.musicbrainz.org/Development/Summer_of_Code/2015"" target=""_blank"" rel=""nofollow"">Ideas page</a>",,,"music, metadata, open data",google/gsoc2015/metabrainz,
,MinnowBoard Project,,,minnowboard,"<a href=""http://elinux.org/Minnowboard:GSoC2015"" target=""_blank"" rel=""nofollow"">Ideas page</a>",,,"C, Perl, Python, Bash, File Synchronization, Network Booting, UEFI, Firmware, SMBus",google/gsoc2015/minnowboard,
,Mono Project,,,mono,"<a href=""http://www.mono-project.com/community/google-summer-of-code/projects/"" target=""_blank"" rel=""nofollow"">Ideas page</a>",,,"C#, C, C++, Mono, VM, GC, Runtime, MonoDevelop, GTK, OSX, Linux, Windows, .Net",google/gsoc2015/mono,
,Moodle,,,moodle,"<a href=""https://docs.moodle.org/dev/Projects_for_new_developers"" target=""_blank"" rel=""nofollow"">Ideas page</a>",,,"education, elearning, CMS, LMS, VLE, learning, teaching, primary, secondary, tertiary, university, PHP, SQL",google/gsoc2015/moodle,
,52°North Initiative for Geospatial Open Source Software GmbH,,,n52,"<a href=""https://wiki.52north.org/bin/view/Projects/GSoC2015ProjectIdeas"" target=""_blank"" rel=""nofollow"">Ideas page</a>",,,"geo, geospatial, java, gis, spatiotemporal, geoprocessing, traffic, environment, R, R-project, earth observation, geoprocessing, spatial data, geostatistics, sensor web, search, mobile, eventing, database",google/gsoc2015/n52,
,Network Time Foundation,,,networktime,"<a href=""http://support.ntp.org/bin/view/Dev/GoogleSummerOfCode"" target=""_blank"" rel=""nofollow"">Ideas page</a>",,,"ntp, ptpd, linuxptp, radclock, gpsd, network time",google/gsoc2015/networktime,
,Nmap Security Scanner,,,nmap,"<a href=""http://nmap.org/soc/"" target=""_blank"" rel=""nofollow"">Ideas page</a>",,,"security, networking, network, ipv6, lua, c++, c, python, gui, linux, windows, apple, mac os x, packets, hacking, nmap, cryptography, crypto",google/gsoc2015/nmap,
,The ns-3 Network Simulator Project,,,ns3,"<a href=""http://www.nsnam.org/wiki/GSOC2015Projects"" target=""_blank"" rel=""nofollow"">Ideas page</a>",,,"ns3, network simulation, emulation, C, C++, Python",google/gsoc2015/ns3,
,NumFOCUS,,,numfocus,"<a href=""https://github.com/numfocus/gsoc/blob/master/2015/ideas-list.md"" target=""_blank"" rel=""nofollow"">Ideas page</a>",,,"scientific software, numerical computation",google/gsoc2015/numfocus,
,OncoBlocks,,,oncoblocks,"<a href=""http://bcb.dfci.harvard.edu/~cerami/gsoc.html"" target=""_blank"" rel=""nofollow"">Ideas page</a>",,,"cancer, bioinformatics, genomics, big data, nosql",google/gsoc2015/oncoblocks,
,The OpenBSD Foundation,,,openbsd_foundation,"<a href=""http://www.openbsdfoundation.org/gsoc2015.html"" target=""_blank"" rel=""nofollow"">Ideas page</a>",,,"OpenBSD, OpenSSH, OpenCVS, OpenSMTP, OpenBGPD, LibreSSL",google/gsoc2015/openbsd_foundation,
,The OpenCog Foundation,,,opencog,"<a href=""http://wiki.opencog.org/w/Ideas"" target=""_blank"" rel=""nofollow"">Ideas page</a>",,,"Artificial Intelligence, C++, Python, Scheme, Machine Learning, NLP",google/gsoc2015/opencog,
,Open Source Computer Vision Library (OpenCV),,,opencv,"<a href=""http://code.opencv.org/projects/opencv/wiki/GSoC_2015"" target=""_blank"" rel=""nofollow"">Ideas page</a>",,,"OpenCV, Computer Vision, Machine Learning, Image Processing, Computational Photography, Fun",google/gsoc2015/opencv,
,OpenKeychain (OpenPGP for Android),,,openkeychain,"<a href=""https://github.com/open-keychain/open-keychain/wiki/Google-Summer-of-Code-2015"" target=""_blank"" rel=""nofollow"">Ideas page</a>",,,"android, java, pgp, openpgp, gpg, security, encryption, crypto, snowden, k-9, mail",google/gsoc2015/openkeychain,
,OpenMRS,,,openmrs,"<a href=""http://go.openmrs.org/soc2015"" target=""_blank"" rel=""nofollow"">Ideas page</a>",,,"medical_records, health, clinics, ehealth, hospitals, hfoss, healthcare, emr, ehr, hl7, mhealth, africa, developing_world, poverty, global_health, dojo, spring, api, mysql, internationalization, l8n, mrs, i10n, openmrs, hr, android, node, xml, hibernate, localization, search, localisation, statistics, java, maven, ict4d, phr, tomcat, database, internationalisation, html5, node, nodejs, ldap, express, groovy",google/gsoc2015/openmrs,
,OpenStreetMap,,,openstreetmap,"<a href=""https://wiki.openstreetmap.org/wiki/Google_Summer_of_Code/2015/Project_Ideas"" target=""_blank"" rel=""nofollow"">Ideas page</a>",,,"geo, maps, crowdsourcing, java, javascript, c++, ruby, postgis, webgl, 3d, wmts, python, html",google/gsoc2015/openstreetmap,
,Openwall,,,openwall,"<a href=""http://openwall.info/wiki/ideas"" target=""_blank"" rel=""nofollow"">Ideas page</a>",,,"assembler, disassembly, c, cryptography, cuda, fpga, gpu, hashing, hpc, john, opencl, openmp, password, radare2, reverse-engineering, security, simd, xeon-phi",google/gsoc2015/openwall,
,OSGeo - Open Source Geospatial Foundation,,,osgeo,"<a href=""http://wiki.osgeo.org/wiki/Google_Summer_of_Code_2015_Ideas"" target=""_blank"" rel=""nofollow"">Ideas page</a>",,,"postgres, c, gis, live-disc, algorithm, java, c#, graph, javascript, mapping, maps, c++, ajax, geospatial, mysql, http, php, geo, mssql, 3d, osm, openstreetmap, cartography, science",google/gsoc2015/osgeo,
,Google Open Source Programs Office,,,ospo,"<a href=""http://www.google-melange.com/gsoc/document/show/gsoc_program/google/gsoc2015/help_page#16._What_if_there_is_no_organization"" target=""_blank"" rel=""nofollow"">Ideas page</a>",,,"research, google, open source programs office",google/gsoc2015/ospo,
,Open Source Robotics Foundation,,,osrf,"<a href=""http://wiki.osrfoundation.org/gsoc15"" target=""_blank"" rel=""nofollow"">Ideas page</a>",,,"robotics, gazebo, ros, middleware",google/gsoc2015/osrf,
,Oregon State University Open Source Lab (OSUOSL),,,osuosl,"<a href=""https://wiki.osuosl.org/gsoc/ideas2015.html"" target=""_blank"" rel=""nofollow"">Ideas page</a>",,,"virtualization, kvm, xen, django, twistd, osuosl, ganeti, ganeti web manager, gwm, python, bash, api",google/gsoc2015/osuosl,
,P2PSP.org,,,p2psp,"<a href=""http://p2psp.org/en/news/55-gsoc-2015-ideas-page"" target=""_blank"" rel=""nofollow"">Ideas page</a>",,,"Live Video Streaming, P2P, Multimedia, Streaming, Protocol, Internet, Video, Python, Socket, WebRTC, Android",google/gsoc2015/p2psp,
,PaGMO / PyKEP,,,pagmo,"<a href=""https://github.com/esa/pagmo/wiki/GSoC-2015"" target=""_blank"" rel=""nofollow"">Ideas page</a>",,,"C++, Python, optimization, genetic algorithms, evolutionary computation, parallel computing, meta-heuristics, artificial intelligence, astrodynamics, space systems engineering",google/gsoc2015/pagmo,
